id,severidad,categoria,ubicacion,titulo,confianza,estado
DEFECTO-012,GRAVE,1.3/src/app/api/agents/{diagnose,audit,repair,hooks}/route.ts,Auth de pega en modulo agentes (!== + sin rate-limit),ALTA,confirmado
DEFECTO-013,MODERADO,1.2/src/app/api/agents/repair/route.ts,Repair muta CRM sin idempotencia ni dry-run por defecto,ALTA,confirmado
DEFECTO-014,MODERADO,1.3/.github/workflows/ci.yml,CI ciega a CVE moderadas (gate solo high),ALTA,confirmado
DEFECTO-015,MODERADO,1.5/.github/workflows/ci.yml,Action tags mutables en CI (supply-chain),ALTA,confirmado
DEFECTO-016,MICROSCOPICO,1.5,src/lib/newsletter.ts + src/lib/agents/*,Dead code reportado por knip,ALTA,confirmado
DEFECTO-017,MICROSCOPICO,1.5,website-contenido-pendiente.md,MD suelto en raiz,ALTA,confirmado
DEFECTO-018,MODERADO,1.7,tests/integration/,Sin tests de auth de agentes,ALTA,confirmado
DEFECTO-019,MODERADO,2.3,src/styles/design-tokens.css,Contraste --text-tertiary 3.8:1 < AA,ALTA,confirmado
DEFECTO-020,MICROSCOPICO,2.3,src/components/sections/projects/ProjectsView.tsx,Heading order h3 antes de h1,ALTA,confirmado
DEFECTO-021,MODERADO,2.6,src/styles/site.css:130,Scroll horizontal movil: .ak-cta-form max-width 420px > viewport 390px,ALTA,confirmado
